sweep_axis,tilt_angle_deg,position,label,dx_mean_px,dx_std_px,dy_mean_px,dy_std_px
x,0.02000,0,"(-x,+y)",-0.1064,0.0100,-0.0013,0.0111
x,0.02000,1,"(0,+y)",-0.0072,0.0073,-0.0017,0.0108
x,0.02000,2,"(+x,+y)",0.0909,0.0072,-0.0090,0.0081
x,0.02000,3,"(-x, 0)",-0.0997,0.0071,-0.0017,0.0094
x,0.02000,5,"(+x, 0)",0.0940,0.0096,-0.0082,0.0101
x,0.02000,6,"(-x,-y)",-0.0925,0.0103,-0.0068,0.0031
x,0.02000,7,"(0,-y)",0.0023,0.0125,-0.0162,0.0056
x,0.02000,8,"(+x,-y)",0.1010,0.0113,-0.0091,0.0048
x,0.04000,0,"(-x,+y)",-0.1754,0.0135,0.0074,0.0070
x,0.04000,1,"(0,+y)",0.0079,0.0141,0.0022,0.0101
x,0.04000,2,"(+x,+y)",0.1313,0.0096,0.0363,0.0068
x,0.04000,3,"(-x, 0)",-0.1778,0.0064,0.0048,0.0093
x,0.04000,5,"(+x, 0)",0.1332,0.0081,0.0340,0.0058
x,0.04000,6,"(-x,-y)",-0.1741,0.0063,-0.0005,0.0049
x,0.04000,7,"(0,-y)",0.0055,0.0081,0.0025,0.0059
x,0.04000,8,"(+x,-y)",0.1365,0.0126,0.0310,0.0076
x,0.06000,0,"(-x,+y)",-0.1311,0.1116,-0.0259,0.0703
x,0.06000,1,"(0,+y)",0.0785,0.1132,-0.0596,0.0617
x,0.06000,2,"(+x,+y)",0.2603,0.0831,-0.0467,0.0968
x,0.06000,3,"(-x, 0)",-0.1819,0.0453,0.0166,0.0348
x,0.06000,5,"(+x, 0)",0.1978,0.0367,-0.0070,0.1069
x,0.06000,6,"(-x,-y)",-0.1938,0.0258,0.0010,0.0478
x,0.06000,7,"(0,-y)",-0.0077,0.0326,-0.0111,0.0647
x,0.06000,8,"(+x,-y)",0.1890,0.0502,0.0168,0.0901
x,0.08000,0,"(-x,+y)",-0.2738,0.0322,-0.0102,0.0190
x,0.08000,1,"(0,+y)",0.0117,0.0115,-0.0036,0.0188
x,0.08000,2,"(+x,+y)",0.2684,0.0675,-0.0942,0.0303
x,0.08000,3,"(-x, 0)",-0.2672,0.0597,-0.0105,0.0157
x,0.08000,5,"(+x, 0)",0.2242,0.0093,-0.1146,0.0418
x,0.08000,6,"(-x,-y)",-0.3703,0.1238,0.0227,0.0962
x,0.08000,7,"(0,-y)",-0.0955,0.1656,0.0263,0.0457
x,0.08000,8,"(+x,-y)",0.1382,0.1744,-0.0445,0.0432
x,0.10000,0,"(-x,+y)",-0.3319,0.0493,-0.0471,0.0349
x,0.10000,1,"(0,+y)",0.0428,0.0824,-0.0244,0.0815
x,0.10000,2,"(+x,+y)",0.3144,0.0227,-0.0719,0.0538
x,0.10000,3,"(-x, 0)",-0.3712,0.0258,-0.0536,0.0320
x,0.10000,5,"(+x, 0)",0.3106,0.0274,-0.0639,0.0958
x,0.10000,6,"(-x,-y)",-0.4252,0.1740,-0.0031,0.1537
x,0.10000,7,"(0,-y)",0.0049,0.0391,0.0004,0.0263
x,0.10000,8,"(+x,-y)",0.3211,0.1400,-0.1068,0.0671
x,0.12000,0,"(-x,+y)",-0.4209,0.0098,-0.0621,0.0411
x,0.12000,1,"(0,+y)",0.0076,0.0161,-0.0156,0.0163
x,0.12000,2,"(+x,+y)",0.3468,0.0115,-0.1327,0.0043
x,0.12000,3,"(-x, 0)",-0.4276,0.0067,-0.0787,0.0251
x,0.12000,5,"(+x, 0)",0.3475,0.0105,-0.1152,0.0165
x,0.12000,6,"(-x,-y)",-0.4225,0.0154,-0.0775,0.0294
x,0.12000,7,"(0,-y)",-0.0037,0.0151,-0.0045,0.0101
x,0.12000,8,"(+x,-y)",0.3474,0.0106,-0.1248,0.0152
x,0.14000,0,"(-x,+y)",-0.4839,0.0688,-0.1147,0.0349
x,0.14000,1,"(0,+y)",-0.0228,0.0642,-0.0075,0.0260
x,0.14000,2,"(+x,+y)",0.4030,0.0614,-0.1378,0.0292
x,0.14000,3,"(-x, 0)",-0.4653,0.0242,-0.1230,0.0459
x,0.14000,5,"(+x, 0)",0.4262,0.0265,-0.1169,0.0392
x,0.14000,6,"(-x,-y)",-0.4753,0.0368,-0.1071,0.0583
x,0.14000,7,"(0,-y)",-0.0044,0.0344,-0.0245,0.0386
x,0.14000,8,"(+x,-y)",0.4221,0.0437,-0.1302,0.0432
x,0.16000,0,"(-x,+y)",-0.5298,0.0076,-0.1035,0.0162
x,0.16000,1,"(0,+y)",-0.0115,0.0044,-0.0062,0.0141
x,0.16000,2,"(+x,+y)",0.5042,0.0110,-0.1390,0.0170
x,0.16000,3,"(-x, 0)",-0.5238,0.0132,-0.0996,0.0177
x,0.16000,5,"(+x, 0)",0.5008,0.0105,-0.1267,0.0223
x,0.16000,6,"(-x,-y)",-0.5269,0.0114,-0.1069,0.0226
x,0.16000,7,"(0,-y)",-0.0028,0.0060,-0.0062,0.0176
x,0.16000,8,"(+x,-y)",0.5015,0.0094,-0.1355,0.0267
x,0.18000,0,"(-x,+y)",-0.6062,0.0153,-0.0437,0.0156
x,0.18000,1,"(0,+y)",0.0155,0.0283,0.0061,0.0077
x,0.18000,2,"(+x,+y)",0.5853,0.0459,-0.0975,0.0304
x,0.18000,3,"(-x, 0)",-0.5985,0.0200,-0.0435,0.0064
x,0.18000,5,"(+x, 0)",0.5592,0.0113,-0.0980,0.0187
x,0.18000,6,"(-x,-y)",-0.6090,0.0088,-0.0422,0.0157
x,0.18000,7,"(0,-y)",-0.0094,0.0121,0.0114,0.0140
x,0.18000,8,"(+x,-y)",0.5532,0.0043,-0.0917,0.0199
x,0.20000,0,"(-x,+y)",-0.8160,0.3582,0.0340,0.1133
x,0.20000,1,"(0,+y)",-0.0818,0.1684,-0.0003,0.0397
x,0.20000,2,"(+x,+y)",0.6431,0.0279,-0.0711,0.0679
x,0.20000,3,"(-x, 0)",-0.6214,0.0509,-0.0237,0.0514
x,0.20000,5,"(+x, 0)",0.6521,0.0448,-0.0649,0.0678
x,0.20000,6,"(-x,-y)",-0.6158,0.0773,-0.0206,0.0689
x,0.20000,7,"(0,-y)",0.0048,0.0241,-0.0116,0.0192
x,0.20000,8,"(+x,-y)",0.6637,0.0511,-0.0712,0.0690
x,0.22000,0,"(-x,+y)",-0.5981,0.0065,0.0429,0.0128
x,0.22000,1,"(0,+y)",0.0010,0.0085,0.0071,0.0137
x,0.22000,2,"(+x,+y)",0.7480,0.0091,0.0264,0.0109
x,0.22000,3,"(-x, 0)",-0.5987,0.0042,0.0396,0.0132
x,0.22000,5,"(+x, 0)",0.7502,0.0041,0.0258,0.0107
x,0.22000,6,"(-x,-y)",-0.6008,0.0040,0.0428,0.0086
x,0.22000,7,"(0,-y)",0.0020,0.0087,0.0108,0.0145
x,0.22000,8,"(+x,-y)",0.7526,0.0083,0.0259,0.0110
x,0.24000,0,"(-x,+y)",-0.6755,0.0112,0.0310,0.0080
x,0.24000,1,"(0,+y)",0.0062,0.0051,-0.0066,0.0074
x,0.24000,2,"(+x,+y)",0.8190,0.0058,-0.0005,0.0085
x,0.24000,3,"(-x, 0)",-0.6787,0.0135,0.0412,0.0044
x,0.24000,5,"(+x, 0)",0.8141,0.0103,-0.0001,0.0088
x,0.24000,6,"(-x,-y)",-0.6833,0.0104,0.0424,0.0067
x,0.24000,7,"(0,-y)",-0.0027,0.0040,-0.0004,0.0070
x,0.24000,8,"(+x,-y)",0.8100,0.0044,0.0007,0.0083
x,0.26000,0,"(-x,+y)",-0.8232,0.0138,0.0701,0.0091
x,0.26000,1,"(0,+y)",0.0103,0.0073,-0.0042,0.0029
x,0.26000,2,"(+x,+y)",0.8780,0.0055,-0.0281,0.0066
x,0.26000,3,"(-x, 0)",-0.8322,0.0133,0.0696,0.0131
x,0.26000,5,"(+x, 0)",0.8667,0.0032,-0.0285,0.0076
x,0.26000,6,"(-x,-y)",-0.8392,0.0066,0.0772,0.0090
x,0.26000,7,"(0,-y)",-0.0035,0.0040,0.0014,0.0037
x,0.26000,8,"(+x,-y)",0.8620,0.0066,-0.0273,0.0075
x,0.28000,0,"(-x,+y)",-0.8843,0.0093,0.0559,0.0043
x,0.28000,1,"(0,+y)",0.0053,0.0038,-0.0025,0.0130
x,0.28000,2,"(+x,+y)",0.9254,0.0053,-0.0382,0.0093
x,0.28000,3,"(-x, 0)",-0.8967,0.0085,0.0514,0.0078
x,0.28000,5,"(+x, 0)",0.9211,0.0046,-0.0363,0.0050
x,0.28000,6,"(-x,-y)",-0.8993,0.0039,0.0570,0.0069
x,0.28000,7,"(0,-y)",-0.0078,0.0044,0.0023,0.0093
x,0.28000,8,"(+x,-y)",0.9138,0.0079,-0.0277,0.0071
x,0.30000,0,"(-x,+y)",-0.8869,0.1694,-0.0342,0.0605
x,0.30000,1,"(0,+y)",0.0778,0.1602,-0.0613,0.0690
x,0.30000,2,"(+x,+y)",1.0649,0.1228,-0.0526,0.0484
x,0.30000,3,"(-x, 0)",-0.9310,0.0614,0.0027,0.0411
x,0.30000,5,"(+x, 0)",0.9130,0.1408,-0.0219,0.0265
x,0.30000,6,"(-x,-y)",-1.0410,0.1220,0.0615,0.0508
x,0.30000,7,"(0,-y)",-0.0937,0.1496,0.0264,0.0462
x,0.30000,8,"(+x,-y)",0.9483,0.0345,-0.0096,0.0343
y,0.02000,0,"(-x,+y)",-0.0395,0.0589,0.0924,0.0282
y,0.02000,1,"(0,+y)",-0.0164,0.0143,0.0790,0.0122
y,0.02000,2,"(+x,+y)",-0.0108,0.0133,0.0808,0.0083
y,0.02000,3,"(-x, 0)",0.0049,0.0062,0.0056,0.0071
y,0.02000,5,"(+x, 0)",0.0076,0.0095,-0.0041,0.0191
y,0.02000,6,"(-x,-y)",0.0151,0.0166,-0.0779,0.0102
y,0.02000,7,"(0,-y)",-0.0071,0.0607,-0.0652,0.0223
y,0.02000,8,"(+x,-y)",-0.0227,0.1442,-0.0533,0.0479
y,0.04000,0,"(-x,+y)",-0.0104,0.0898,0.0915,0.0821
y,0.04000,1,"(0,+y)",-0.0327,0.0690,0.1257,0.0584
y,0.04000,2,"(+x,+y)",-0.0363,0.0662,0.1354,0.0280
y,0.04000,3,"(-x, 0)",-0.0017,0.0045,0.0214,0.0216
y,0.04000,5,"(+x, 0)",-0.0076,0.0421,-0.0019,0.0240
y,0.04000,6,"(-x,-y)",0.0147,0.0090,-0.1261,0.0400
y,0.04000,7,"(0,-y)",0.0230,0.0269,-0.1311,0.0588
y,0.04000,8,"(+x,-y)",0.0284,0.0270,-0.1153,0.0335
y,0.06000,0,"(-x,+y)",-0.0359,0.0731,0.1878,0.0185
y,0.06000,1,"(0,+y)",-0.0363,0.0898,0.2047,0.0443
y,0.06000,2,"(+x,+y)",-0.0008,0.0568,0.1763,0.0245
y,0.06000,3,"(-x, 0)",0.0018,0.0108,-0.0053,0.0308
y,0.06000,5,"(+x, 0)",-0.0204,0.0462,0.0186,0.0620
y,0.06000,6,"(-x,-y)",0.0419,0.0663,-0.1751,0.0363
y,0.06000,7,"(0,-y)",0.0724,0.0185,-0.2189,0.0275
y,0.06000,8,"(+x,-y)",0.0462,0.0720,-0.1913,0.0460
y,0.08000,0,"(-x,+y)",0.0018,0.0687,0.2962,0.0520
y,0.08000,1,"(0,+y)",-0.0218,0.0568,0.2621,0.0477
y,0.08000,2,"(+x,+y)",-0.0198,0.0558,0.2910,0.0469
y,0.08000,3,"(-x, 0)",-0.0009,0.0287,0.0273,0.0218
y,0.08000,5,"(+x, 0)",-0.0249,0.0191,0.0161,0.0238
y,0.08000,6,"(-x,-y)",0.0421,0.0274,-0.2211,0.0323
y,0.08000,7,"(0,-y)",0.0465,0.0296,-0.2404,0.0387
y,0.08000,8,"(+x,-y)",0.0484,0.0254,-0.2306,0.0337
y,0.10000,0,"(-x,+y)",-0.0142,0.0257,0.3274,0.0345
y,0.10000,1,"(0,+y)",-0.0212,0.0200,0.3256,0.0265
y,0.10000,2,"(+x,+y)",-0.0172,0.0142,0.3173,0.0224
y,0.10000,3,"(-x, 0)",0.0015,0.0139,-0.0096,0.0271
y,0.10000,5,"(+x, 0)",-0.0007,0.0120,-0.0141,0.0238
y,0.10000,6,"(-x,-y)",0.0609,0.0173,-0.3945,0.0327
y,0.10000,7,"(0,-y)",0.0647,0.0176,-0.3883,0.0291
y,0.10000,8,"(+x,-y)",0.0670,0.0179,-0.3667,0.0192
y,0.12000,0,"(-x,+y)",-0.0389,0.0158,0.3976,0.0406
y,0.12000,1,"(0,+y)",-0.0258,0.0137,0.4142,0.0215
y,0.12000,2,"(+x,+y)",-0.0170,0.0133,0.4166,0.0351
y,0.12000,3,"(-x, 0)",-0.0007,0.0084,-0.0100,0.0090
y,0.12000,5,"(+x, 0)",0.0034,0.0084,-0.0142,0.0336
y,0.12000,6,"(-x,-y)",0.0200,0.0137,-0.4111,0.0388
y,0.12000,7,"(0,-y)",0.0122,0.0162,-0.4241,0.0177
y,0.12000,8,"(+x,-y)",0.0140,0.0108,-0.4355,0.0317
y,0.14000,0,"(-x,+y)",-0.0194,0.0336,0.4918,0.0316
y,0.14000,1,"(0,+y)",-0.0117,0.0335,0.5104,0.0313
y,0.14000,2,"(+x,+y)",-0.0083,0.0288,0.4912,0.0090
y,0.14000,3,"(-x, 0)",0.0182,0.0189,-0.0206,0.0154
y,0.14000,5,"(+x, 0)",0.0065,0.0119,-0.0135,0.0175
y,0.14000,6,"(-x,-y)",-0.0219,0.0145,-0.4637,0.0240
y,0.14000,7,"(0,-y)",-0.0376,0.0167,-0.4744,0.0254
y,0.14000,8,"(+x,-y)",-0.0275,0.0191,-0.4761,0.0244
y,0.16000,0,"(-x,+y)",0.0035,0.0295,0.5654,0.0438
y,0.16000,1,"(0,+y)",0.0038,0.0245,0.5802,0.0245
y,0.16000,2,"(+x,+y)",0.0053,0.0157,0.5733,0.0292
y,0.16000,3,"(-x, 0)",0.0051,0.0224,0.0058,0.0356
y,0.16000,5,"(+x, 0)",0.0054,0.0107,0.0058,0.0312
y,0.16000,6,"(-x,-y)",-0.0374,0.0195,-0.5276,0.0170
y,0.16000,7,"(0,-y)",-0.0407,0.0174,-0.5308,0.0276
y,0.16000,8,"(+x,-y)",-0.0350,0.0234,-0.5273,0.0618
y,0.18000,0,"(-x,+y)",-0.0329,0.0960,0.7113,0.0531
y,0.18000,1,"(0,+y)",-0.0300,0.1009,0.7070,0.0361
y,0.18000,2,"(+x,+y)",-0.0204,0.0981,0.7217,0.0372
y,0.18000,3,"(-x, 0)",-0.0116,0.0302,0.0044,0.0282
y,0.18000,5,"(+x, 0)",-0.0105,0.0081,0.0084,0.0171
y,0.18000,6,"(-x,-y)",-0.0575,0.0347,-0.5543,0.0228
y,0.18000,7,"(0,-y)",-0.0659,0.0137,-0.5545,0.0160
y,0.18000,8,"(+x,-y)",-0.0996,0.0536,-0.5421,0.0709
y,0.20000,0,"(-x,+y)",0.0273,0.0917,0.7238,0.0793
y,0.20000,1,"(0,+y)",0.0309,0.0921,0.7415,0.0792
y,0.20000,2,"(+x,+y)",0.0350,0.0851,0.7365,0.0802
y,0.20000,3,"(-x, 0)",-0.0369,0.0703,0.0182,0.0332
y,0.20000,5,"(+x, 0)",0.0029,0.0290,-0.0127,0.0192
y,0.20000,6,"(-x,-y)",0.0836,0.1311,-0.6853,0.0443
y,0.20000,7,"(0,-y)",0.0918,0.1498,-0.6962,0.0208
y,0.20000,8,"(+x,-y)",0.0955,0.1504,-0.7059,0.0375
y,0.22000,0,"(-x,+y)",0.0716,0.0172,0.7436,0.0091
y,0.22000,1,"(0,+y)",0.0752,0.0135,0.7540,0.0117
y,0.22000,2,"(+x,+y)",0.0746,0.0161,0.7535,0.0052
y,0.22000,3,"(-x, 0)",0.0019,0.0178,0.0074,0.0109
y,0.22000,5,"(+x, 0)",0.0017,0.0071,0.0011,0.0116
y,0.22000,6,"(-x,-y)",0.0172,0.0123,-0.7098,0.0133
y,0.22000,7,"(0,-y)",0.0146,0.0122,-0.7191,0.0144
y,0.22000,8,"(+x,-y)",0.0139,0.0098,-0.7224,0.0103
y,0.24000,0,"(-x,+y)",0.0380,0.0049,0.7887,0.0064
y,0.24000,1,"(0,+y)",0.0365,0.0096,0.8044,0.0129
y,0.24000,2,"(+x,+y)",0.0441,0.0074,0.8001,0.0091
y,0.24000,3,"(-x, 0)",0.0088,0.0057,0.0080,0.0056
y,0.24000,5,"(+x, 0)",-0.0070,0.0071,-0.0008,0.0084
y,0.24000,6,"(-x,-y)",-0.0177,0.0094,-0.7754,0.0084
y,0.24000,7,"(0,-y)",-0.0181,0.0093,-0.7798,0.0072
y,0.24000,8,"(+x,-y)",-0.0206,0.0147,-0.7823,0.0143
y,0.26000,0,"(-x,+y)",0.0208,0.0093,0.8430,0.0164
y,0.26000,1,"(0,+y)",0.0217,0.0076,0.8639,0.0068
y,0.26000,2,"(+x,+y)",0.0241,0.0110,0.8654,0.0057
y,0.26000,3,"(-x, 0)",0.0048,0.0052,0.0062,0.0049
y,0.26000,5,"(+x, 0)",-0.0122,0.0123,0.0040,0.0125
y,0.26000,6,"(-x,-y)",-0.0447,0.0160,-0.8362,0.0135
y,0.26000,7,"(0,-y)",-0.0448,0.0196,-0.8607,0.0191
y,0.26000,8,"(+x,-y)",-0.0471,0.0180,-0.8736,0.0203
y,0.28000,0,"(-x,+y)",-0.0033,0.0301,0.9261,0.0051
y,0.28000,1,"(0,+y)",0.0171,0.0241,0.9490,0.0136
y,0.28000,2,"(+x,+y)",0.0327,0.0114,0.9509,0.0138
y,0.28000,3,"(-x, 0)",0.0004,0.0173,0.0196,0.0314
y,0.28000,5,"(+x, 0)",-0.0055,0.0219,0.0021,0.0120
y,0.28000,6,"(-x,-y)",-0.0522,0.0324,-0.9246,0.0170
y,0.28000,7,"(0,-y)",-0.0468,0.0143,-0.9562,0.0181
y,0.28000,8,"(+x,-y)",-0.0390,0.0172,-0.9672,0.0153
y,0.30000,0,"(-x,+y)",0.0145,0.0213,1.0329,0.0075
y,0.30000,1,"(0,+y)",0.0280,0.0174,1.0481,0.0074
y,0.30000,2,"(+x,+y)",0.0383,0.0164,1.0655,0.0011
y,0.30000,3,"(-x, 0)",0.0027,0.0108,0.0013,0.0120
y,0.30000,5,"(+x, 0)",-0.0187,0.0073,0.0059,0.0217
y,0.30000,6,"(-x,-y)",-0.0555,0.0134,-1.0380,0.0190
y,0.30000,7,"(0,-y)",-0.0567,0.0181,-1.0702,0.0217
y,0.30000,8,"(+x,-y)",-0.0606,0.0260,-1.0597,0.0144
